Age,Assists,C_Apps,C_Assists,C_Clean_Sheets,C_Goals,C_Mins,Clean Sheets,Club,Club_Appearances,Country,Current_Value,F_Def,F_Drib,F_Pace,F_Passing,F_Phy,F_Rating,F_Shooting,F_WRate,FantasyLeaguePoints,FantasyLeagueVal,Goals,Goals_per_game,Mins_per_goal,Minutes_played_club,Name,Position,Previous_Value,Wiki_Views
31,1,13,0,1,0,1086,,Real Sociedad,31,Spain,"3,00 Mill. ",71,77,68,76,72,79,72,Medium / Medium,31,5.5,3,0.1,835,2504,David Zurutuza,Central Midfield,"3,00 Mill. ?",51
26,4,5,0,0,0,504,,Real Sociedad,31,Spain,"4,00 Mill. ",30,83,67,85,55,82,77,High / Medium,23,4.5,0,0,,989,Sergio Canales,Attacking Midfield,"3,00 Mill. ?",158
23,0,12,2,2,1,1092,,Real Sociedad,2,Portugal,"3,00 Mill. ",68,60,74,64,52,70,44,Medium / Medium,41,4.5,0,0,,103,Kévin Rodrigues,Left-Back,"1,00 Mill. ?",103
25,0,0,0,0,0,21,,Real Sociedad,16,Spain,"3,00 Mill. ",61,78,67,78,60,79,68,Medium / Medium,2,2,1,0.06,1.272,1272,Rubén Pardo,Central Midfield,"4,00 Mill. ?",4
29,1,5,1,1,0,442,,Real Sociedad,32,Spain,"3,00 Mill. ",79,48,53,59,70,78,45,Medium / Medium,16,2.5,1,0.03,2.798,2798,Raúl Navas,Centre-Back,"5,00 Mill. ?",10
23,0,17,0,7,0,1530,,Athletic Bilbao,33,France,"25,00 Mill. ",86,62,69,66,78,84,50,Medium / Medium,51,10.5,2,0.06,1.433,2865,Aymeric Laporte,Centre-Back,"25,00 Mill. ?",507
23,7,14,3,0,3,1283,,Athletic Bilbao,38,Spain,"25,00 Mill. ",34,79,93,73,79,81,78,High / High,57,16,5,0.13,560,2800,Iñaki Williams,Right Wing,"25,00 Mill. ?",669
23,0,14,0,4,0,1260,8,Athletic Bilbao,23,Spain,"20,00 Mill. ",34,81,78,75,76,79,81,No,40,3.5,0,0,,2016,Kepa Arrizabalaga,Keeper,"8,00 Mill. ?",397
28,1,12,0,6,0,1027,,Athletic Bilbao,35,Spain,"9,00 Mill. ",79,70,43,70,78,80,70,Medium / Medium,32,9.4,4,0.11,666,2665,Mikel San José,Defensive Midfield,"12,00 Mill. ?",0
31,4,15,1,8,3,1317,,Athletic Bilbao,36,Spain,"9,00 Mill. ",66,77,57,82,76,81,76,High / Medium,65,16.8,10,0.28,288,2884,Raúl García,Attacking Midfield,"12,00 Mill. ?",5
25,3,4,2,0,1,405,,Athletic Bilbao,35,Spain,"9,00 Mill. ",43,82,81,72,49,78,70,High / Medium,21,4,7,0.2,345,2413,Iker Muniain,Left Wing,"15,00 Mill. ?",276
24,1,10,0,5,0,1025,,Athletic Bilbao,25,Spain,"7,50 Mill. ",67,75,73,74,73,75,64,Medium / High,41,5.5,2,0.08,786,1571,Iñigo Lekue,Right-Back,"4,00 Mill. ?",51
30,2,12,2,6,1,1092,,Athletic Bilbao,26,Spain,"7,50 Mill. ",28,78,74,82,64,78,71,High / Medium,48,6.5,1,0.04,1.102,1102,Markel Susaeta,Right Wing,"7,50 Mill. ?",104
22,1,0,0,0,0,0,,Athletic Bilbao,26,Spain,"7,50 Mill. ",77,63,68,57,75,78,49,Medium / High,0,2,0,0,,2270,Yeray Álvarez,Centre-Back,"15,00 Mill. ?",164
28,4,7,0,4,0,471,,Athletic Bilbao,27,Spain,"6,00 Mill. ",74,78,86,73,79,81,62,High / Medium,28,3.5,1,0.04,2.149,2149,Óscar de Marcos,Right-Back,"8,00 Mill. ?",86
24,1,8,1,2,1,630,,Athletic Bilbao,17,Spain,"6,00 Mill. ",67,63,57,66,75,71,57,Medium / Medium,23,2,1,0.06,1.409,1409,Mikel Vesga,Defensive Midfield,"6,00 Mill. ?",37
30,5,2,0,2,0,248,,Athletic Bilbao,32,Spain,"5,00 Mill. ",66,75,58,84,74,82,75,Medium / Medium,12,2.6,1,0.03,2.442,2442,Beñat Etxebarria,Central Midfield,"8,00 Mill. ?",108
28,1,9,0,2,0,843,,Athletic Bilbao,24,Spain,"5,00 Mill. ",79,70,59,77,72,81,63,High / Medium,23,3,0,0,,1152,Ander Iturraspe,Defensive Midfield,"5,00 Mill. ?",82
29,1,12,2,5,0,1058,,Athletic Bilbao,33,Spain,"5,00 Mill. ",78,71,75,71,77,79,49,High / Medium,44,8.1,1,0.03,2.851,2851,Mikel Balenziaga,Left-Back,"5,00 Mill. ?",47
29,0,4,0,4,0,360,7,Athletic Bilbao,21,Spain,"3,00 Mill. ",45,73,76,66,75,76,83,No,27,3.5,0,0,,1827,Iago Herrerín,Keeper,"3,00 Mill. ?",56
30,0,2,0,2,1,180,,Athletic Bilbao,10,Spain,"2,50 Mill. ",78,57,52,48,81,78,35,Low / Medium,15,2.5,0,0,,711,Xabier Etxeita,Centre-Back,"2,50 Mill. ?",37
33,0,6,0,4,0,575,,Athletic Bilbao,18,Spain,"1,50 Mill. ",70,68,53,70,75,74,63,Medium / Medium,18,3,1,0.06,468,468,Mikel Rico,Central Midfield,"2,00 Mill. ?",38
25,2,1,0,0,0,72,,Athletic Bilbao,13,Spain,"1,50 Mill. ",43,75,77,68,61,75,72,Medium / Medium,6,2,1,0.08,436,436,Sabin Merino,Left Wing,"2,00 Mill. ?",51
36,1,13,1,0,4,1264,,Athletic Bilbao,32,Spain,"1,00 Mill. ",46,76,70,64,79,84,83,High / Medium,57,13.3,16,0.5,152,2429,Aritz Aduriz,Centre-Forward,"1,00 Mill. ?",586
