,Name,Position,Country,Age,Club,Current_Value,Previous_Value
299,Nemanja Maksimovic,Central Midfield,Serbia,22,Valencia CF,"2,00 Mill. ","3,00 Mill. €"
300,David Timor,Defensive Midfield,Spain,28,Girona FC,"2,00 Mill. ","2,00 Mill. €"
301,Eneko Bóveda,Right-Back,Spain,29,Athletic Bilbao,"2,00 Mill. ","3,00 Mill. €"
302,Zakaria Bakkali,Left Wing,Belgium,21,Deportivo de La Coruña,"1,80 Mill. ","2,00 Mill. €"
303,Mauro dos Santos,Centre-Back,Argentina,28,CD Leganés,"1,80 Mill. ","2,00 Mill. €"
304,Sergio Postigo,Centre-Back,Spain,29,Levante UD,"1,80 Mill. ","1,50 Mill. €"
305,Manu García,Defensive Midfield,Spain,31,Deportivo Alavés,"1,80 Mill. ","1,50 Mill. €"
306,David Juncà,Left-Back,Spain,24,SD Eibar,"1,50 Mill. ","1,50 Mill. €"
307,Víctor Laguardia,Centre-Back,Spain,28,Deportivo Alavés,"1,50 Mill. ","3,00 Mill. €"
308,Borja Lasso,Left Wing,Spain,24,Sevilla FC,"1,50 Mill. ","1,50 Mill. €"
309,Raúl Albentosa,Centre-Back,Spain,29,Deportivo de La Coruña,"1,50 Mill. ","3,00 Mill. €"
